Country,Clicks,Impressions,CTR,Position
United States,949,17004,5.58%,6.77
United Kingdom,186,3795,4.9%,6.72
Canada,88,1570,5.61%,6.32
Australia,56,910,6.15%,6.63
Brazil,42,614,6.84%,7.08
France,39,341,11.44%,6.3
Germany,28,595,4.71%,6.84
Philippines,23,517,4.45%,6.54
Iran,22,65,33.85%,6.46
Italy,21,374,5.61%,6.98
Turkey,19,338,5.62%,6.99
India,17,216,7.87%,6
Sweden,13,135,9.63%,5.87
Russia,13,95,13.68%,6.57
Netherlands,12,501,2.4%,7.36
New Zealand,11,148,7.43%,6.04
Indonesia,10,143,6.99%,8.51
Hungary,9,92,9.78%,6.11
Poland,8,222,3.6%,6.43
Malaysia,8,190,4.21%,6
Spain,8,184,4.35%,7.08
Mexico,7,308,2.27%,7.87
Ireland,7,145,4.83%,7.14
Singapore,7,140,5%,5.51
Japan,7,95,7.37%,5.26
Argentina,7,82,8.54%,7.89
South Africa,6,120,5%,6.92
Belgium,5,120,4.17%,6.56
Portugal,5,78,6.41%,6.87
South Korea,5,44,11.36%,6
Thailand,4,179,2.23%,6.3
Romania,4,109,3.67%,6.45
Mongolia,4,30,13.33%,6.23
Sri Lanka,4,17,23.53%,5.24
Vietnam,3,145,2.07%,14.99
Denmark,3,59,5.08%,5.61
Morocco,3,52,5.77%,7.98
Switzerland,3,37,8.11%,6
Lithuania,3,26,11.54%,4.96
Israel,2,106,1.89%,8.06
Norway,2,57,3.51%,5.93
Jordan,2,50,4%,6.02
Serbia,2,36,5.56%,6.39
Puerto Rico,2,30,6.67%,6.17
Georgia,2,27,7.41%,6.07
Colombia,2,27,7.41%,9
Myanmar (Burma),2,17,11.76%,7.59
Suriname,2,9,22.22%,6.33
Isle of Man,2,7,28.57%,6
Chile,1,61,1.64%,7.1
United Arab Emirates,1,59,1.69%,7.31
Egypt,1,45,2.22%,7.8
Bangladesh,1,44,2.27%,11.43
Kazakhstan,1,34,2.94%,6.18
Slovakia,1,33,3.03%,6.15
