Country,Impressions
United States,969
United Kingdom,221
Canada,71
Philippines,62
Australia,46
Brazil,30
Italy,21
Germany,19
Poland,19
Turkey,15
Malaysia,14
Sweden,13
Thailand,12
South Africa,12
Indonesia,11
Romania,11
Ireland,10
Mexico,10
Netherlands,10
India,9
Japan,8
Belgium,7
Hong Kong,7
Hungary,7
Israel,7
Singapore,7
United Arab Emirates,6
Switzerland,6
Czechia,6
Denmark,6
Spain,6
France,6
Norway,6
Curaçao,5
New Zealand,5
Portugal,5
Morocco,4
Slovakia,4
Argentina,3
Brunei,3
Costa Rica,3
Egypt,3
Iceland,3
Lithuania,3
Nigeria,3
Qatar,3
Russia,3
Serbia,3
Trinidad & Tobago,3
Austria,2
Bulgaria,2
Chile,2
Algeria,2
Ghana,2
Iran,2
Kenya,2
Cambodia,2
Pakistan,2
Peru,2
Zambia,2
American Samoa,1
Bangladesh,1
Bahamas,1
Bosnia & Herzegovina,1
Belarus,1
Bolivia,1
Barbados,1
Ethiopia,1
Finland,1
Greece,1
Guatemala,1
Honduras,1
Croatia,1
Jordan,1
Kyrgyzstan,1
South Korea,1
Lebanon,1
Libya,1
Madagascar,1
Myanmar (Burma),1
Mongolia,1
Mauritius,1
Namibia,1
Puerto Rico,1
Paraguay,1
Tunisia,1
Taiwan,1
Ukraine,1
U.S. Virgin Islands,1
Vietnam,1
