Country,Clicks,Impressions,CTR,Position
United States,25,922,2.71%,7.57
United Kingdom,5,211,2.37%,6.82
Brazil,3,40,7.5%,5.15
Sweden,3,9,33.33%,6.44
Canada,2,76,2.63%,8.05
Italy,2,18,11.11%,7.39
Philippines,1,23,4.35%,6.3
Germany,1,21,4.76%,8.81
India,1,18,5.56%,7.28
Ireland,1,15,6.67%,8.27
Vietnam,1,12,8.33%,5.25
Poland,1,10,10%,5.3
Malaysia,1,10,10%,5.4
Lithuania,1,8,12.5%,3.88
Denmark,1,7,14.29%,4.14
Argentina,1,7,14.29%,6.71
Portugal,1,5,20%,7.4
Puerto Rico,1,3,33.33%,4
Macedonia,1,2,50%,3.5
Australia,0,41,0%,6.83
Mexico,0,21,0%,6.9
Turkey,0,15,0%,6.27
France,0,14,0%,8.29
Netherlands,0,13,0%,5.69
New Zealand,0,10,0%,6.6
Thailand,0,8,0%,6.25
Israel,0,8,0%,9
Slovenia,0,6,0%,3.5
Serbia,0,6,0%,4.33
Belgium,0,6,0%,6.5
Spain,0,6,0%,7.33
Algeria,0,5,0%,4.4
Norway,0,5,0%,5.8
Ukraine,0,5,0%,8.6
Russia,0,4,0%,5.25
Hungary,0,4,0%,5.75
South Korea,0,4,0%,6
Japan,0,4,0%,6.5
China,0,4,0%,7.25
Slovakia,0,4,0%,7.25
Hong Kong,0,4,0%,7.75
Bangladesh,0,3,0%,5
Indonesia,0,3,0%,5
Romania,0,3,0%,5
Egypt,0,3,0%,5.33
Singapore,0,3,0%,5.33
Switzerland,0,3,0%,5.67
Jamaica,0,3,0%,5.67
United Arab Emirates,0,3,0%,6.33
Jordan,0,3,0%,7.67
Iran,0,3,0%,12
Paraguay,0,2,0%,2
Chile,0,2,0%,5
Ecuador,0,2,0%,5
Georgia,0,2,0%,5
Nepal,0,2,0%,5.5
Czechia,0,2,0%,6.5
Austria,0,2,0%,7
Morocco,0,2,0%,8.5
Uzbekistan,0,2,0%,9.5
Cambodia,0,2,0%,19.5
Saudi Arabia,0,2,0%,24.5
Bahamas,0,1,0%,1
Croatia,0,1,0%,1
Montenegro,0,1,0%,1
Peru,0,1,0%,1
Qatar,0,1,0%,1
Venezuela,0,1,0%,2
Afghanistan,0,1,0%,3
Cyprus,0,1,0%,3
Iraq,0,1,0%,3
Greece,0,1,0%,4
Tunisia,0,1,0%,4
Latvia,0,1,0%,5
Finland,0,1,0%,6
Gambia,0,1,0%,6
Nicaragua,0,1,0%,6
Lebanon,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Ethiopia,0,1,0%,8
Kazakhstan,0,1,0%,8
Namibia,0,1,0%,8
Bolivia,0,1,0%,9
Colombia,0,1,0%,9
Suriname,0,1,0%,9
Taiwan,0,1,0%,9
South Africa,0,1,0%,9
Belarus,0,1,0%,10
Cuba,0,1,0%,14
Azerbaijan,0,1,0%,15
